Trade,Origin region,Destination region,Origin country,district,req ETD wk ,Cust. Code,Carrier (Std),Contract #,BR:1st Vessel,BR:1st Voyage #,Bkg Party # ,TMS #,Booking Status,Exception?,BR:PRE,BR:POL,BR:POD,BR:DEL,Move Type,BR:Req. ETD,BC:ETD POL,BR:Eqp.,BR:Eqp. Cnt,BC:Eqp.,BC:Eqp. Cnt,BC:Release Date,BC:Version,BR:Req. FEU,BC:Conf. FEU,BC: CY Cut-off Date,BC: CY Cut-off Time,BC: VGM Cut-off Date,BC: VGM Cut-off Time,BC: SI Cut-off Date,BC: SI Cut-off Time,BC:1st ETD POL,BC:1st ETA POD,BC:1st Release Date,BC:Released,BR:2nd Vessel,BR:2nd Voyage #,Consignee,Region,Bkg Type,Shipper Bkg Linked?,CRD,Date between BR creattion / ETD req,Check,x4,x5,x6,x7,x8,x9
AP > EU,AP,EU,CN,CN E.,27,HMH,MAEU,90-0080,ELLY MAERSK,527W,229120444,185901640,Confirmed,N,CNSHA,CNSHA,NLRTM,NLRTM,CYP/CYP,01-Jul,01-Jul,40HCx2,2,40HCx2,2,20-Jun,1,2.25,2.25,28-Jun,21:00,28-Jun,14:30,27-Jun,16:30,01-Jul,15-Aug,20-Jun,No,,,H&M Home,Shanghai,Direct,No,24-Jun, 15.00 ,0,,,,,,
AP > EU,AP,EU,CN,CN E.,27,HMH,MAEU,90-0080,ELLY MAERSK,527W,229120447,185901641,Confirmed,N,CNSHA,CNSHA,NLRTM,NLRTM,CYP/CYP,01-Jul,01-Jul,40HCx1,1,40HCx1,1,20-Jun,1,1.125,1.125,28-Jun,21:00,28-Jun,14:30,27-Jun,16:30,01-Jul,15-Aug,20-Jun,No,,,H&M Home,Shanghai,Direct,No,21-Jun, 14.00 ,0,,,,,,
AP > EU,AP,EU,CN,CN E.,27,HMH,MAEU,90-0080,ELLY MAERSK,527W,229120413,185901642,Confirmed,N,CNSHA,CNSHA,NLRTM,NLRTM,CYP/CYP,01-Jul,01-Jul,40HCx1,1,40HCx1,1,20-Jun,1,1.125,1.125,28-Jun,21:00,28-Jun,14:30,27-Jun,16:30,01-Jul,15-Aug,20-Jun,No,,,H&M Home,Shanghai,Direct,No,25-Jun, 15.00 ,0,,,,,,
AP > EU,AP,EU,CN,CN E.,27,HMH,MAEU,90-0080,ELLY MAERSK,527W,229120450,185901646,Confirmed,N,CNSHA,CNSHA,NLRTM,NLRTM,CYP/CYP,01-Jul,01-Jul,40HCx1,1,40HCx1,1,20-Jun,1,1.125,1.125,28-Jun,21:00,28-Jun,14:30,27-Jun,16:30,01-Jul,15-Aug,20-Jun,No,,,H&M Home,Shanghai,Direct,No,23-Jun, 14.00 ,0,,,,,,
AP > EU,AP,EU,CN,CN E.,27,HMH,MAEU,90-0080,ELLY MAERSK,527W,229120426,185901647,Confirmed,N,CNSHA,CNSHA,NLRTM,NLRTM,CYP/CYP,01-Jul,01-Jul,40HCx1,1,40HCx1,1,20-Jun,1,1.125,1.125,28-Jun,21:00,28-Jun,14:30,27-Jun,16:30,01-Jul,15-Aug,20-Jun,No,,,H&M Home,Shanghai,Direct,No,24-Jun, 16.00 ,0,,,,,,
AP > EU,AP,EU,CN,CN E.,27,K,MAEU,90-0080,ELLY MAERSK,527W,264318575,185231641,Confirmed,N,CNNGB,CNNGB,NLRTM,NLRTM,CYP/CYP,05-Jul,05-Jul,40HCx1,1,40HCx1,1,27-Jun,2,1.125,1.125,02-Jul,22:00,02-Jul,16:00,01-Jul,20:00,05-Jul,15-Aug,25-Jun,Yes,,,H&M Home,Ningbo,Direct,Yes,27-Jun, 18.00 ,-2,,,,,,
AP > EU,AP,EU,CN,CN E.,27,HMH,MAEU,90-0080,ELLY MAERSK,527W,264318665,185231643,Confirmed,Y,CNNGB,CNNGB,NLRTM,NLRTM,CYP/CYP,05-Jul,05-Jul,40GPx1,1,20GPx1,1,26-Jun,2,1,0.5,02-Jul,22:00,02-Jul,16:00,01-Jul,20:00,05-Jul,15-Aug,25-Jun,Yes,,,H&M Home,Ningbo,Direct,Yes,28-Jun, 18.00 ,-1,,,,,,
AP > NA,AP,NA,CN,CN S.,28,BBY,COSU,HOI23500,COSCO NETHERLANDS,058E,6359789010,185216294,Confirmed,N,CNYTN,CNYTN,USLGB,USLGB,CYP/CYP,13-Jul,13-Jul,40RFx1,1,40RFx1,1,25-Jun,1,1.125,1.125,09-Jul,15:00,08-Jul,12:30,08-Jul,12:30,13-Jul,28-Jul,25-Jun,Yes,,,Best Buy,S.China,Direct,Yes,05-Jul, 18.00 ,0,,,,,,
AP > EU,AP,EU,CN,CN E.,32,TRI,HCLU,HH2000,ESTELLE MAERSK,532W,292861395,186512627,Pending,N,CNNGB,CNNGB,NLRTM,NLRTM,CYP/CYP,08-Aug,,40HCx2,2,,,,,2.25,,,,,,,,,,,Yes,,,Triumph,Ningbo,Bkg Agnt,Yes,31-Jul, 18.00 ,0,,,,,,
AP > EU,AP,EU,CN,CN E.,32,TRI,HCLU,HH2000,ESTELLE MAERSK,532W,292861394,186512653,Pending,N,CNNGB,CNNGB,NLRTM,NLRTM,CYP/CYP,08-Aug,09-Aug,40HCx2,2,40HCx2,2,09-Jul,,2.25,2.25,,,,,,,09-Aug,15-Sep,09-Jul,Yes,,,Triumph,Ningbo,Bkg Agnt,Yes,31-Jul, 18.00 ,0,,,,,,
